,,,,
,Agen,370,720
,Ajaccio,830,940
,Albi,490,755
,Alençon,340,270
,Amiens,500,125
,Angers,300,375
,Angoulême,340,575
,Annecy,780,535
,Arras,530,90
,Auch,365,780
,Aurillac,505,650
,Auxerre,585,345
,Avignon,700,750
,Bar-le-Duc,698,240
,Bastia,875,860
,Beauvais,480,170
,Belfort,825,355
,Besançon,770,405
,Blois,430,370
,Bobigny,510,230
,Bordeaux,280,650
,Bourg-en-Bresse,705,515
,Bourges,510,420
,Caen,310,200
,Cahors,435,695
,Carcassonne,500,830
,Châlons-en-Champagne,640,220
,Chambéry,750,575
,Charleville-Mézières,665,135
,Chartres,440,280
,Châteauroux,450,455
,Chaumont,698,315
,Clermont-Ferrand,555,560
,Colmar,850,310
,Créteil,510,245
,Digne-les-Bains,790,730
,Dijon,695,390
,Épinal,785,300
,Évreux,415,215
,Évry,503,265
,Foix,440,860
,Gap,780,675
,Grenoble,750,615
,Guéret,470,520
,LaRoche-sur-Yon,230,460
,LaRochelle,250,515
,Laon,585,160
,Laval,285,315
,Le Mans,350,325
,Le Puy-en-Velay,615,635
,Lille,548,50
,Limoges,420,550
,Lons-le-Saunier,735,460
,Lyon,685,560
,Mâcon,675,500
,Marseille,740,815
,Melun,525,270
,Mende,590,690
,Metz,765,200
,Mont-de-Marsan,280,750
,Montauban,425,740
,Montpellier,615,785
,Moulins,570,480
,Nancy,770,250
,Nanterre,490,235
,Nantes,220,400
,Nevers,560,430
,Nice,870,675
,Nîmes,655,765
,Niort,300,495
,Orléans,470,335
,Paris,503,235
,Pau,290,815
,Périgueux,380,620
,Perpignan,545,885
,Poitiers,360,470
,Pontoise,480,210
,Privas,665,665
,Quimper,45,310
,Rennes,220,310
,Rodez,520,715
,Rouen,410,170
,Saint-Brieuc,145,260
,Saint-Étienne,650,590
,Saint-Lô,260,205
,Strasbourg,870,250
,Tarbes,330,825
,Toulon,785,825
,Toulouse,435,790
,Tours,380,390
,Troyes,620,295
,Tulle,460,610
,Valence,695,650
,Vannes,145,345
,Versailles,480,240
,Vesoul,775,360
